,Question,Iteration,R
0,Thought Pattern 1,0,0.1380
1,Thought Pattern 1,1,0.1778
2,Thought Pattern 1,2,0.1084
3,Thought Pattern 1,3,0.1987
4,Thought Pattern 1,4,0.1008
5,Thought Pattern 1,5,0.1800
6,Thought Pattern 1,6,0.1086
7,Thought Pattern 1,7,0.1521
8,Thought Pattern 1,8,0.1632
9,Thought Pattern 1,9,0.1217
10,Thought Pattern 1,10,0.0974
11,Thought Pattern 1,11,0.1780
12,Thought Pattern 1,12,0.1275
13,Thought Pattern 1,13,0.1346
14,Thought Pattern 1,14,0.2108
15,Thought Pattern 1,15,0.1480
16,Thought Pattern 1,16,0.1669
17,Thought Pattern 1,17,0.1243
18,Thought Pattern 1,18,0.1327
19,Thought Pattern 1,19,0.1266
20,Thought Pattern 1,20,0.1408
21,Thought Pattern 1,21,0.1197
22,Thought Pattern 1,22,0.1800
23,Thought Pattern 1,23,0.1736
24,Thought Pattern 1,24,0.1675
25,Thought Pattern 1,25,0.1268
26,Thought Pattern 1,26,0.1336
27,Thought Pattern 1,27,0.1428
28,Thought Pattern 1,28,0.1325
29,Thought Pattern 1,29,0.1750
30,Thought Pattern 1,30,0.1645
31,Thought Pattern 1,31,0.1199
32,Thought Pattern 1,32,0.1564
33,Thought Pattern 1,33,0.1048
34,Thought Pattern 1,34,0.1180
35,Thought Pattern 1,35,0.1376
36,Thought Pattern 1,36,0.1780
37,Thought Pattern 1,37,0.1309
38,Thought Pattern 1,38,0.1416
39,Thought Pattern 1,39,0.1522
40,Thought Pattern 1,40,0.1532
41,Thought Pattern 1,41,0.1050
42,Thought Pattern 1,42,0.1812
43,Thought Pattern 1,43,0.0763
44,Thought Pattern 1,44,0.1352
45,Thought Pattern 1,45,0.1440
46,Thought Pattern 1,46,0.1385
47,Thought Pattern 1,47,0.1122
48,Thought Pattern 1,48,0.1894
49,Thought Pattern 1,49,0.1055
50,Thought Pattern 1,50,0.1424
51,Thought Pattern 1,51,0.1812
52,Thought Pattern 1,52,0.1474
53,Thought Pattern 1,53,0.1772
54,Thought Pattern 1,54,0.1158
55,Thought Pattern 1,55,0.0578
56,Thought Pattern 1,56,0.1300
57,Thought Pattern 1,57,0.1542
58,Thought Pattern 1,58,0.1683
59,Thought Pattern 1,59,0.1678
60,Thought Pattern 1,60,0.1335
61,Thought Pattern 1,61,0.1384
62,Thought Pattern 1,62,0.1189
63,Thought Pattern 1,63,0.1648
64,Thought Pattern 1,64,0.1405
65,Thought Pattern 1,65,0.1309
66,Thought Pattern 1,66,0.1659
67,Thought Pattern 1,67,0.1183
68,Thought Pattern 1,68,0.1218
69,Thought Pattern 1,69,0.1412
70,Thought Pattern 1,70,0.1363
71,Thought Pattern 1,71,0.1775
72,Thought Pattern 1,72,0.0941
73,Thought Pattern 1,73,0.1458
74,Thought Pattern 1,74,0.1607
75,Thought Pattern 1,75,0.1676
76,Thought Pattern 1,76,0.1594
77,Thought Pattern 1,77,0.0950
78,Thought Pattern 1,78,0.1615
79,Thought Pattern 1,79,0.1393
80,Thought Pattern 1,80,0.1638
81,Thought Pattern 1,81,0.1042
82,Thought Pattern 1,82,0.1869
83,Thought Pattern 1,83,0.1617
84,Thought Pattern 1,84,0.0897
85,Thought Pattern 1,85,0.1390
86,Thought Pattern 1,86,0.1093
87,Thought Pattern 1,87,0.1522
88,Thought Pattern 1,88,0.1290
89,Thought Pattern 1,89,0.1655
90,Thought Pattern 1,90,0.1451
91,Thought Pattern 1,91,0.0869
92,Thought Pattern 1,92,0.1081
93,Thought Pattern 1,93,0.1915
94,Thought Pattern 1,94,0.1235
95,Thought Pattern 1,95,0.1320
96,Thought Pattern 1,96,0.1651
97,Thought Pattern 1,97,0.1192
98,Thought Pattern 1,98,0.1402
99,Thought Pattern 1,99,0.1051
100,Thought Pattern 2,0,0.2063
101,Thought Pattern 2,1,0.2316
102,Thought Pattern 2,2,0.1838
103,Thought Pattern 2,3,0.2430
104,Thought Pattern 2,4,0.1690
105,Thought Pattern 2,5,0.2243
106,Thought Pattern 2,6,0.2268
107,Thought Pattern 2,7,0.1924
108,Thought Pattern 2,8,0.1702
109,Thought Pattern 2,9,0.2014
110,Thought Pattern 2,10,0.1987
111,Thought Pattern 2,11,0.1863
112,Thought Pattern 2,12,0.1893
113,Thought Pattern 2,13,0.1796
114,Thought Pattern 2,14,0.2260
115,Thought Pattern 2,15,0.2043
116,Thought Pattern 2,16,0.2327
117,Thought Pattern 2,17,0.1999
118,Thought Pattern 2,18,0.2094
119,Thought Pattern 2,19,0.1805
120,Thought Pattern 2,20,0.2002
121,Thought Pattern 2,21,0.2142
122,Thought Pattern 2,22,0.1840
123,Thought Pattern 2,23,0.1915
124,Thought Pattern 2,24,0.2450
125,Thought Pattern 2,25,0.1643
126,Thought Pattern 2,26,0.1325
127,Thought Pattern 2,27,0.2065
128,Thought Pattern 2,28,0.2152
129,Thought Pattern 2,29,0.1666
130,Thought Pattern 2,30,0.2127
131,Thought Pattern 2,31,0.1803
132,Thought Pattern 2,32,0.1907
133,Thought Pattern 2,33,0.1911
134,Thought Pattern 2,34,0.2292
135,Thought Pattern 2,35,0.2318
136,Thought Pattern 2,36,0.1849
137,Thought Pattern 2,37,0.2200
138,Thought Pattern 2,38,0.1870
139,Thought Pattern 2,39,0.2212
140,Thought Pattern 2,40,0.2279
141,Thought Pattern 2,41,0.1949
142,Thought Pattern 2,42,0.2220
143,Thought Pattern 2,43,0.1712
144,Thought Pattern 2,44,0.1925
145,Thought Pattern 2,45,0.2204
146,Thought Pattern 2,46,0.2069
147,Thought Pattern 2,47,0.1669
148,Thought Pattern 2,48,0.2245
149,Thought Pattern 2,49,0.2308
150,Thought Pattern 2,50,0.2137
151,Thought Pattern 2,51,0.1821
152,Thought Pattern 2,52,0.2264
153,Thought Pattern 2,53,0.2319
154,Thought Pattern 2,54,0.1610
155,Thought Pattern 2,55,0.1719
156,Thought Pattern 2,56,0.2237
157,Thought Pattern 2,57,0.1969
158,Thought Pattern 2,58,0.2075
159,Thought Pattern 2,59,0.2120
160,Thought Pattern 2,60,0.2170
161,Thought Pattern 2,61,0.2396
162,Thought Pattern 2,62,0.2296
163,Thought Pattern 2,63,0.1779
164,Thought Pattern 2,64,0.2019
165,Thought Pattern 2,65,0.1798
166,Thought Pattern 2,66,0.2271
167,Thought Pattern 2,67,0.1855
168,Thought Pattern 2,68,0.2261
169,Thought Pattern 2,69,0.1861
170,Thought Pattern 2,70,0.1862
171,Thought Pattern 2,71,0.2107
172,Thought Pattern 2,72,0.2184
173,Thought Pattern 2,73,0.2269
174,Thought Pattern 2,74,0.2187
175,Thought Pattern 2,75,0.2293
176,Thought Pattern 2,76,0.2179
177,Thought Pattern 2,77,0.1988
178,Thought Pattern 2,78,0.1746
179,Thought Pattern 2,79,0.1863
180,Thought Pattern 2,80,0.2215
181,Thought Pattern 2,81,0.1950
182,Thought Pattern 2,82,0.2197
183,Thought Pattern 2,83,0.2333
184,Thought Pattern 2,84,0.1767
185,Thought Pattern 2,85,0.2007
186,Thought Pattern 2,86,0.1814
187,Thought Pattern 2,87,0.2153
188,Thought Pattern 2,88,0.2217
189,Thought Pattern 2,89,0.2175
190,Thought Pattern 2,90,0.1790
191,Thought Pattern 2,91,0.2109
192,Thought Pattern 2,92,0.1938
193,Thought Pattern 2,93,0.2249
194,Thought Pattern 2,94,0.2327
195,Thought Pattern 2,95,0.1675
196,Thought Pattern 2,96,0.1886
197,Thought Pattern 2,97,0.1957
198,Thought Pattern 2,98,0.1780
199,Thought Pattern 2,99,0.1848
200,Wakefulness,0,0.2769
201,Wakefulness,1,0.2825
202,Wakefulness,2,0.2874
203,Wakefulness,3,0.2864
204,Wakefulness,4,0.2742
205,Wakefulness,5,0.2764
206,Wakefulness,6,0.2788
207,Wakefulness,7,0.2807
208,Wakefulness,8,0.3032
209,Wakefulness,9,0.2877
210,Wakefulness,10,0.2609
211,Wakefulness,11,0.2693
212,Wakefulness,12,0.2644
213,Wakefulness,13,0.2961
214,Wakefulness,14,0.2551
215,Wakefulness,15,0.2870
216,Wakefulness,16,0.2886
217,Wakefulness,17,0.2845
218,Wakefulness,18,0.2694
219,Wakefulness,19,0.2848
220,Wakefulness,20,0.2696
221,Wakefulness,21,0.2681
222,Wakefulness,22,0.2735
223,Wakefulness,23,0.2875
224,Wakefulness,24,0.2649
225,Wakefulness,25,0.2745
226,Wakefulness,26,0.2810
227,Wakefulness,27,0.2988
