Other Traits,Positive,Negative,Future,Past,Myself,People,Surroundings,Images,Words,Specific,Intrusive,TP1,TP2
AMAS_sum,0.6618199767025185,0.13156283644054653,0.02310357431334247,0.039570915063986585,0.6469409759107033,0.10408181936534637,0.9507091552145147,0.4782930296706822,0.9014180987442638,0.106358515922782,0.20393861487910286,0.37960063404932104,0.4433771897192816
BDI_summary_sum,0.01398789921401041,0.0037937737383692592,0.2309935290392823,0.7915331244768004,0.8746462091799403,0.30696232680439867,0.058535832922412386,0.08805357498685298,0.34477358406908903,0.01710770577115716,0.06558065039614408,0.0018815204657689527,0.003852261507535238
BISBAS_BIS_sum,0.031782080181495524,0.00042668844880723984,0.15615909999705835,0.9733624993148159,0.05623870675712629,0.17026821828480618,0.005005357252724706,0.14708813710690682,0.3414575734568277,0.7246955442476061,0.14635174992626765,0.025021989993389754,2.7642292452243592e-05
BISBAS_BAS_sum,0.0432881147681537,0.054249926878117916,0.3089845702363277,0.01639887529844384,0.039778593832855,0.39181725506532344,0.7715842632875832,0.0995217903820405,0.11550360584839647,0.902597350339015,0.8702949444374466,0.02502730559849402,0.1981127356613102
BPS_sum,0.1276371129832403,0.09967877321740949,0.8812363799062694,0.8483340915843516,0.4861479226487473,0.7140013353355524,0.1760594562633907,0.9809268123568566,0.8151097379633548,0.7069683590971317,0.012177396586505731,0.7629168694504026,0.11868525778170677
SCS_SelfCtrl_sum,0.2679010280041688,0.012245689699943685,0.14075219496719216,0.9317639295746529,0.4826121616222461,0.5263528251110665,0.7320770938069409,0.5903742622715209,0.32487842654320076,0.25318501003110494,0.01519606338060729,0.18645256443818903,0.08032770660663041
ESS_summary_sum,0.23607385332948688,0.9850048533434256,0.8292740248011099,0.9418734103185312,0.6525772072096833,0.6162962928666627,0.4916616017443839,0.9842791863983017,0.8826721064924032,0.22338983457575073,0.042467791860383464,0.9663056057614747,0.8797803946592134
GoldMSI_Active_sum,0.26757223493993565,0.40569603646229097,0.9024118020947431,0.22164993408169723,0.6647979729688627,0.013558147209907799,0.8427848247114332,0.006817269009334559,0.5863209264400641,0.5188423583561835,0.43015745945173167,0.034315806688098645,0.8686534206762541
GoldMSI_Training_sum,0.9250072746201109,0.40726119008641914,0.977406833438435,0.9226625610528364,0.7723810109332213,0.9976461632690994,0.47471892532254295,0.5083944378350985,0.43297860203219996,0.9268840356162621,0.9724875499035553,0.6753907335600543,0.2500490006972824
HADS-A_summary_sum,0.3645725396943536,0.0035892933976962105,0.9780020859253893,0.9809982324558282,0.7811868260239568,0.6806047256448299,0.11618708926034381,0.7652474400870469,0.6821939777530623,0.07935196772726551,0.109580116969539,0.19148397804831224,0.02384155327815106
HADS-D_summary_sum,0.001265955694856778,7.493830342299458e-05,0.14573028067118332,0.36473676191185234,0.4720767253799789,0.0065709803631903655,0.007314379205673314,0.052724822658794204,0.3797731769572607,0.08815498383499419,0.008124116307118031,9.332878907283615e-05,0.00014238321091334524
IAT_sum,0.30818892850763546,0.0010106280713419885,0.6734648789865785,0.5165733258141963,0.9075784655146509,0.2324204724389383,0.10216616133187198,0.70257182555491,0.29706257899282934,0.19769401392851416,0.7659696520258276,0.26335455073908987,0.1256022099246239
IMIS_NegVal_sum,0.8996085875742077,0.12336308711165705,0.49058761319659316,0.6650361002855881,0.051058776539040326,0.7401051593207361,0.7738547158531918,0.5478059012057871,0.2918538775639295,0.4409112394250986,0.3391855560965371,0.6550982201113784,0.3496931263095591
IMIS_Help_sum,0.9942837250643899,0.7289127567374093,0.757897130441847,0.1366423331697845,0.21752277591431884,0.4344812347967815,0.11636682444610255,0.4574859526398331,0.955504392196699,0.8431726758882337,0.9448778837768176,0.6277371521978072,0.30395332854284307
IMIS_Movement_sum,0.4553027882943195,0.4049564443757505,0.993104090504627,0.28036587096063303,0.5264615357661678,0.8674497769937809,0.40201941255905776,0.2585093563416702,0.229330800527978,0.3120636721788907,0.9976326961830756,0.32851320806870776,0.21577510109039083
IMIS_PersRef_sum,0.2737337465322853,0.013779689442365699,0.8521148219756278,0.6962132260787919,0.9541720004577491,0.8876248738381805,0.18359773327476628,0.27504920494958657,0.5805507644670859,0.29366319680257397,0.7586771432186715,0.1453123741040491,0.08714317070602969
MMI_score,0.4159977615953256,0.3290805210625245,0.08054880072949984,0.04557345945273346,0.3080790961441058,0.07394389193523021,0.003181533436491389,0.7519359337090075,0.4812739668382431,0.2822091028782871,0.7988359394063531,0.6290968441547639,0.05171616844438272
PSSI_PN,0.16580509736369275,0.46782037524740344,0.22806097412793627,0.6977288848714965,0.6425363130399497,0.27084458695433056,0.5809893906462688,0.4336659453453978,0.9967361532898625,0.2848454678065734,0.6859403482051964,0.35100649585769383,0.7738124183429852
PSSI_SZ,0.20293068925909702,0.25586950596969227,0.30091760335541057,0.7412378953600217,0.852769680074194,0.010057312166197263,0.5511144084017141,0.5593398514549949,0.11601123576688856,0.5706091016177945,0.0028274230607251414,0.163477115348875,0.178283729007853
PSSI_ST,0.4786229763619184,0.693024642811701,0.8999551621741433,0.5537406004202395,0.8800746915856659,0.5152364658481575,0.15270918119471114,0.3922144251146785,0.6886539435192547,0.20113491904296424,0.15118066870813127,0.48859139884127367,0.2338745371532371
PSSI_BL,0.023509105481999377,0.000114206538054115,0.571038764558909,0.767287481381883,0.2135380974140536,0.6625967008337843,0.2470906559046117,0.7040398197798565,0.31247163174683623,0.8432626300621922,0.001921557303776341,0.13432827777541143,0.0015075020307415486
PSSI_HI,0.16878260310347015,0.6981046984485108,0.4089041481188675,0.04487926136221369,0.8393435628697546,0.07901032291710376,0.3855812896032033,0.6050398008418636,0.7734751593479883,0.3768605672714572,0.2364766371260321,0.20239456705144535,0.7774923047561835
PSSI_NA,0.6882591571206204,0.003176247114694048,0.44390049186338987,0.009431239953575258,0.3356159431683224,0.14506787214041406,0.17285180900106029,0.6881670301533336,0.8841357495500161,0.8612265562382767,0.20275988717628654,0.5296309063793827,0.06216989310654191
