,Survey,Metric,# Items in Set A,# Items in Set B
0,AMAS,AMAS_sum,15,57
1,BDI,BDI_summary_sum,21,63
2,BISBAS,BISBAS_BIS_sum,17,62
3,BISBAS,BISBAS_BAS_sum,17,62
4,BPS,BPS_sum,21,62
5,SCS,SCS_SelfCtrl_sum,21,63
6,ESS,ESS_summary_sum,21,63
7,GoldMSI,GoldMSI_Active_sum,21,63
8,GoldMSI,GoldMSI_Training_sum,21,63
9,HADS,HADS-A_summary_sum,21,63
10,HADS,HADS-D_summary_sum,21,63
11,IAT,IAT_sum,21,63
12,IMIS,IMIS_NegVal_sum,20,61
13,IMIS,IMIS_Help_sum,20,61
14,IMIS,IMIS_Movement_sum,20,61
15,IMIS,IMIS_PersRef_sum,20,61
16,MMI,MMI_score,21,62
17,PSSI,PSSI_PN,21,63
18,PSSI,PSSI_SZ,21,63
19,PSSI,PSSI_ST,21,63
20,PSSI,PSSI_BL,21,63
21,PSSI,PSSI_HI,21,63
22,PSSI,PSSI_NA,21,63
23,PSSI,PSSI_SU,21,63
24,PSSI,PSSI_AB,21,63
25,PSSI,PSSI_ZW,21,63
26,PSSI,PSSI_NT,21,63
27,PSSI,PSSI_DP,21,63
28,PSSI,PSSI_SL,21,63
29,PSSI,PSSI_RH,21,63
30,PSSI,PSSI_AS,21,63
31,SE,SE_Mean_SelfEst,21,63
32,SDS,SDS_sum,21,63
33,TPS,TPS_D_sum,21,63
34,UPPS,UPPS_Mean_NegUrg,21,63
35,UPPS,UPPS_Mean_Premed,21,63
36,UPPS,UPPS_Mean_Persev,21,63
37,UPPS,UPPS_Mean_SS,21,63
38,UPPS,UPPS_Mean_PosUrg,21,63
39,SDMW,S-D-MW_delib_mean,21,63
40,SDMW,S-D-MW_spont_mean,21,63
41,VISQ,VIS_dialog_sum,21,63
42,VISQ,VIS_condensed_sum,21,63
43,VISQ,VIS_other_sum,21,63
44,VISQ,VIS_eval_sum,21,63
45,ACS,ACS_sum,21,63
