index,Past,Future,Specific,Positive,People,Images,Words,Negative,Surroundings,Myself,Intrusive
Past,1.00,-0.10,0.10,0.21,0.22,0.17,0.02,0.00,0.05,0.18,0.04
Future,-0.10,1.00,0.17,0.17,0.32,0.15,0.03,0.07,-0.01,0.15,0.01
Specific,0.10,0.17,1.00,0.30,0.22,0.22,0.10,-0.11,-0.10,0.14,0.14
Positive,0.21,0.17,0.30,1.00,0.40,0.30,0.02,-0.45,-0.22,0.04,-0.08
People,0.22,0.32,0.22,0.40,1.00,0.37,-0.06,-0.09,-0.11,0.01,0.03
Images,0.17,0.15,0.22,0.30,0.37,1.00,-0.34,-0.15,-0.20,-0.02,0.05
Words,0.02,0.03,0.10,0.02,-0.06,-0.34,1.00,0.12,0.13,0.09,0.03
Negative,0.00,0.07,-0.11,-0.45,-0.09,-0.15,0.12,1.00,0.34,0.26,0.33
Surroundings,0.05,-0.01,-0.10,-0.22,-0.11,-0.20,0.13,0.34,1.00,0.34,0.08
Myself,0.18,0.15,0.14,0.04,0.01,-0.02,0.09,0.26,0.34,1.00,0.29
Intrusive,0.04,0.01,0.14,-0.08,0.03,0.05,0.03,0.33,0.08,0.29,1.00
