Item,d(Set B - Set A),MW (U),MW (p),Set A (mean),lo (Set A),hi (Set A),Set B (mean),lo (Set B),hi (Set B)
Positive,1.76,3924.50,0.00,42.44,38.78,46.14,72.72,70.86,74.54
Negative,-0.66,21053.00,0.00,42.60,37.91,47.09,27.52,24.92,30.12
Future,1.45,5315.00,0.00,44.76,40.71,48.62,72.12,70.06,74.08
Past,0.51,11344.00,0.00,42.32,38.19,46.06,54.74,51.68,57.78
Myself,0.14,14553.00,0.19,48.39,44.09,52.83,51.62,48.76,54.30
People,2.07,2972.00,0.00,45.75,41.81,49.72,80.66,79.04,82.22
Surroundings,-0.48,20154.50,0.00,56.93,52.79,61.26,44.64,41.44,47.82
Images,1.35,5357.00,0.00,46.81,42.99,51.10,75.38,72.98,77.76
Words,-0.22,17838.00,0.05,53.94,48.78,58.94,47.58,43.94,51.40
Specific,0.77,9559.00,0.00,45.63,40.67,50.35,64.18,61.42,66.96
Intrusive,-0.18,17181.00,0.19,45.00,40.83,49.65,40.86,38.14,43.62
