Set A,Set B
70.0,45.0
65.0,40.0
50.0,15.0
35.0,90.0
75.0,75.0
35.0,80.0
40.0,55.0
90.0,70.0
100.0,90.0
80.0,35.0
90.0,100.0
95.0,95.0
35.0,35.0
55.0,60.0
25.0,35.0
95.0,75.0
5.0,35.0
15.0,95.0
90.0,90.0
30.0,85.0
55.0,55.0
55.0,55.0
60.0,60.0
10.0,5.0
40.0,70.0
0.0,75.0
0.0,35.0
45.0,100.0
95.0,100.0
90.0,100.0
95.0,100.0
75.0,70.0
15.0,45.0
85.0,45.0
85.0,55.0
70.0,50.0
100.0,60.0
75.0,70.0
85.0,90.0
40.0,95.0
25.0,100.0
60.0,90.0
45.0,70.0
40.0,100.0
45.0,90.0
100.0,90.0
85.0,45.0
100.0,65.0
70.0,10.0
60.0,85.0
65.0,85.0
55.0,90.0
65.0,40.0
100.0,95.0
100.0,100.0
50.0,100.0
90.0,100.0
65.0,90.0
15.0,60.0
5.0,85.0
5.0,35.0
55.0,20.0
25.0,90.0
85.0,90.0
50.0,95.0
50.0,90.0
50.0,60.0
75.0,35.0
95.0,95.0
65.0,100.0
60.0,60.0
25.0,70.0
10.0,80.0
80.0,25.0
35.0,35.0
35.0,40.0
90.0,55.0
100.0,50.0
10.0,80.0
15.0,50.0
45.0,95.0
5.0,70.0
5.0,45.0
5.0,20.0
10.0,65.0
0.0,15.0
90.0,35.0
40.0,65.0
40.0,100.0
0.0,95.0
0.0,100.0
0.0,50.0
90.0,50.0
80.0,75.0
80.0,70.0
20.0,35.0
20.0,15.0
70.0,5.0
75.0,5.0
70.0,80.0
45.0,80.0
60.0,75.0
70.0,75.0
50.0,75.0
40.0,35.0
35.0,20.0
15.0,10.0
20.0,95.0
25.0,70.0
40.0,95.0
75.0,80.0
35.0,65.0
65.0,20.0
55.0,60.0
100.0,75.0
65.0,90.0
35.0,50.0
40.0,55.0
90.0,25.0
100.0,30.0
100.0,50.0
55.0,50.0
30.0,35.0
30.0,35.0
25.0,30.0
30.0,35.0
40.0,25.0
,45.0
,85.0
,40.0
,70.0
,70.0
,35.0
,35.0
,70.0
,60.0
,80.0
,45.0
,45.0
,70.0
,70.0
,45.0
,40.0
,40.0
,40.0
,65.0
,55.0
,100.0
,100.0
,100.0
,100.0
,65.0
,50.0
,90.0
,15.0
,35.0
,45.0
,35.0
,65.0
,50.0
,80.0
,25.0
,90.0
,95.0
,90.0
,100.0
,55.0
,75.0
,5.0
,25.0
,0.0
,5.0
,95.0
,90.0
,40.0
,60.0
,70.0
,80.0
,85.0
,30.0
,40.0
,65.0
,40.0
,30.0
,40.0
,40.0
,65.0
,70.0
,50.0
,65.0
,20.0
,25.0
,30.0
,100.0
,80.0
,60.0
,45.0
,5.0
,25.0
,50.0
,65.0
,45.0
,55.0
,35.0
,25.0
,100.0
,100.0
,15.0
,20.0
,20.0
,45.0
,65.0
,65.0
,80.0
,80.0
,40.0
,100.0
,80.0
,85.0
,35.0
,35.0
,65.0
,55.0
,40.0
,65.0
,45.0
,55.0
,35.0
,25.0
,40.0
,25.0
,45.0
,50.0
,50.0
,90.0
,90.0
,55.0
,20.0
,10.0
,90.0
,65.0
,95.0
,90.0
,60.0
,40.0
,40.0
,45.0
,55.0
,60.0
,60.0
