TSNE1,TSNE2,TSNE3,Set Label
2.844,-5.001,-1.030,Set B
0.480,2.531,-1.479,Set B
-4.041,7.253,1.237,Ambiguous
-3.598,8.865,0.996,Ambiguous
4.040,-3.896,-1.435,Set B
3.607,-5.424,-12.782,Set B
-7.645,11.143,1.635,Ambiguous
-6.481,12.253,1.190,Set A
-6.113,12.611,1.080,Set A
8.328,6.145,-3.870,Set B
8.429,4.713,-4.766,Set B
8.631,4.255,-5.248,Set B
7.133,4.472,-2.057,Set B
1.977,9.407,4.101,Set A
-2.595,0.982,11.249,Set A
-6.702,5.511,9.828,Set A
-5.379,6.988,10.228,Set A
-5.768,6.345,-7.409,Set B
-2.821,5.718,-4.382,Set B
-10.209,9.479,3.567,Set A
-5.698,7.991,-8.987,Set B
8.583,6.043,0.785,Set B
-4.711,-1.426,7.583,Set A
-1.869,6.795,13.332,Set A
-2.271,4.938,12.906,Set A
-1.963,5.955,13.201,Set A
4.357,8.892,-0.915,Set A
-6.110,0.592,3.920,Set A
-5.072,3.910,9.187,Set A
-3.184,0.537,10.201,Set A
-6.057,1.443,-5.533,Set B
12.193,-0.253,4.453,Ambiguous
11.673,-0.609,4.901,Ambiguous
11.226,-0.716,4.253,Ambiguous
11.440,-1.738,4.242,Ambiguous
-8.504,2.802,2.394,Set A
-1.438,0.833,-6.005,Set B
5.097,-9.317,-0.564,Set B
14.268,-1.019,-4.301,Set B
4.906,-1.961,-2.613,Set B
3.182,1.427,1.900,Ambiguous
-6.098,-0.541,8.651,Set A
-5.175,7.258,3.491,Set A
-8.569,-6.596,-0.252,Set B
4.614,-4.238,-7.743,Set B
5.818,-1.451,-3.139,Set B
-7.663,6.951,3.338,Set A
5.424,-4.926,-3.629,Set B
3.330,-0.310,-0.416,Set B
-8.782,4.772,5.811,Ambiguous
3.937,-0.102,-0.014,Set B
-6.103,3.787,6.210,Set A
-6.587,3.119,7.360,Set A
-6.476,4.558,5.679,Set A
-6.985,4.341,5.999,Set A
-7.909,-7.719,-1.890,Set B
3.477,4.233,3.872,Set A
5.208,4.927,2.396,Ambiguous
-8.244,9.839,2.338,Set A
5.468,2.992,2.697,Set B
-1.927,-4.065,-11.870,Set B
0.246,-2.704,-13.296,Set B
0.696,-3.773,6.630,Set A
-4.305,2.747,11.444,Set A
-0.827,-4.595,-14.076,Set B
-0.987,-0.933,-12.950,Set B
-1.226,0.248,-12.677,Set B
0.666,1.650,-10.019,Set B
8.428,-5.453,-6.386,Set B
7.903,-6.670,2.264,Set B
7.852,-8.474,1.357,Set B
-1.968,8.533,3.799,Ambiguous
-7.878,-3.361,1.908,Ambiguous
-8.419,-2.691,1.963,Ambiguous
-7.027,0.025,3.237,Ambiguous
-7.927,0.214,-1.860,Ambiguous
-1.671,9.089,-8.845,Set B
-7.319,1.373,-0.498,Set A
3.850,8.476,3.430,Ambiguous
8.670,0.777,-4.775,Set B
7.755,1.764,-4.574,Set B
-1.851,-3.636,-9.076,Set B
7.527,2.124,-6.877,Set B
-9.734,-5.488,3.331,Set A
-7.380,-7.492,7.415,Set A
3.311,8.741,3.648,Set A
-1.246,-4.624,-4.457,Set B
-11.793,4.066,7.121,Ambiguous
0.178,-0.475,-15.120,Set B
1.779,-0.344,-14.934,Set B
-4.227,3.298,-8.634,Set B
6.704,-4.030,-12.899,Set B
-6.743,-2.366,12.752,Set A
-6.713,-2.103,10.546,Set A
-9.406,-2.660,6.100,Set A
3.935,1.855,-8.134,Set B
0.573,-8.309,-4.908,Set B
-7.326,-3.943,0.515,Set B
1.369,-9.000,-5.831,Set B
-8.354,-4.675,-0.298,Ambiguous
-10.405,-7.154,-0.248,Set B
-9.950,-6.345,1.860,Ambiguous
-6.088,1.643,10.272,Set A
-7.777,-4.039,4.496,Ambiguous
-9.003,-7.003,0.561,Set B
-5.578,1.782,6.500,Set A
-4.465,3.352,-1.067,Set B
-1.828,8.995,-5.191,Set B
-3.122,4.529,2.617,Ambiguous
-3.262,5.453,2.901,Ambiguous
-3.956,1.677,3.596,Ambiguous
7.265,-6.089,0.405,Set B
3.473,-1.384,-3.698,Set B
-3.538,-2.363,2.570,Set A
-3.179,4.517,-8.633,Set B
-9.242,6.281,3.042,Set A
-4.464,9.788,-3.708,Ambiguous
-2.721,11.154,-4.491,Set B
-5.659,3.296,12.007,Set A
7.478,2.327,-4.818,Set B
4.904,2.699,-5.024,Set B
6.075,3.607,-0.936,Set B
5.924,3.773,-9.129,Set B
1.120,-7.397,-10.656,Set B
11.086,-3.475,-6.729,Set B
1.656,3.797,10.941,Set A
-1.996,-3.953,11.176,Set A
3.162,8.404,7.754,Set A
0.713,8.238,4.527,Set A
-6.394,10.267,6.084,Set A
-7.415,10.965,6.665,Set A
-7.763,11.083,6.782,Set A
-1.721,0.423,10.855,Set A
6.611,-0.332,2.147,Set B
6.695,-0.294,2.808,Set B
7.514,0.298,4.186,Set B
3.138,-6.255,-13.739,Set B
-8.638,-8.460,1.739,Set B
-1.489,-6.273,-7.512,Set B
-8.270,-9.322,1.560,Ambiguous
-10.449,-3.750,6.290,Set A
4.689,-10.378,-12.194,Set B
