Iself,Iother
0.538,0.628
0.277,0.115
-0.040,-0.297
0.538,-0.358
0.411,-0.268
0.362,0.072
0.277,0.131
0.411,0.152
0.747,0.300
-0.040,-0.258
0.362,0.085
0.747,-0.453
0.173,-0.293
0.173,-0.384
0.844,-0.126
0.718,-0.432
0.844,-0.537
0.907,0.053
0.718,-0.009
0.907,-0.269
0.875,0.266
0.719,-0.016
0.909,-0.639
0.875,0.102
0.891,-0.043
0.902,0.279
0.719,-0.454
0.891,0.294
0.854,0.333
0.909,0.308
0.902,0.262
0.854,-0.433
0.199,-0.077
0.390,0.186
0.647,-0.067
0.199,0.241
0.639,-0.184
0.578,0.001
0.390,-0.274
0.639,0.277
0.824,-0.024
0.647,0.087
0.578,-0.322
0.824,0.102
0.518,-0.001
0.500,-0.336
0.652,0.263
0.518,-0.299
0.203,-0.145
0.322,-0.306
0.500,-0.338
0.203,0.556
0.790,0.110
0.652,0.104
0.322,-0.448
0.790,0.146
0.421,-0.070
0.421,0.372
0.702,0.383
0.789,0.047
0.328,0.249
0.702,0.095
0.758,-0.094
-0.136,0.155
0.789,-0.369
0.758,-0.042
-0.041,-0.019
0.328,-0.161
-0.136,0.391
-0.041,0.265
0.746,0.254
0.846,0.475
0.445,-0.323
0.746,0.068
0.815,0.229
0.367,0.262
0.846,-0.010
0.815,0.301
0.111,0.049
0.445,0.237
0.367,0.279
0.111,0.189
0.988,0.564
0.957,-0.275
0.889,-0.072
0.988,-0.335
0.980,-0.553
0.885,-0.069
0.957,0.303
0.980,0.326
0.900,0.140
0.889,0.288
0.885,0.221
0.900,0.274
0.093,0.198
-0.667,0.209
0.023,0.118
0.093,0.270
0.513,0.006
0.157,0.211
-0.667,0.266
0.513,-0.187
0.285,0.111
0.023,-0.365
0.157,-0.003
0.285,-0.229
0.322,-0.207
0.154,-0.198
-0.167,0.137
0.322,-0.194
0.709,-0.718
0.422,-0.253
0.154,-0.444
0.709,-0.502
0.699,-0.025
-0.167,-0.011
0.422,-0.369
0.699,0.007
-0.239,-0.060
-0.439,-0.097
-0.307,0.389
-0.239,-0.460
0.161,-0.418
-0.576,-0.143
-0.439,-0.300
0.161,-0.352
-0.032,0.170
-0.307,0.070
-0.576,0.046
-0.032,-0.033
-0.384,-0.227
0.030,0.391
0.121,0.495
-0.384,0.331
0.349,0.124
0.618,-0.224
0.030,-0.270
0.349,-0.212
0.553,-0.292
0.121,-0.557
0.618,-0.381
0.553,0.130
0.933,-0.358
0.971,-0.799
0.973,-0.631
0.933,0.397
0.938,-0.116
0.943,0.510
0.971,0.106
0.938,0.089
0.997,0.072
0.973,0.156
0.943,0.130
0.997,0.330
0.016,0.421
-0.029,0.348
0.016,-0.115
0.418,0.213
-0.029,0.631
0.418,0.186
0.247,0.365
0.247,0.425
0.322,0.012
-0.306,-0.244
-0.637,0.444
0.322,0.100
0.108,-0.263
-0.478,0.228
-0.306,-0.196
0.108,0.189
0.717,-0.229
-0.637,-0.282
-0.478,0.082
0.717,-0.223
0.369,-0.097
-0.053,-0.063
0.197,-0.066
0.369,-0.134
0.543,-0.136
0.280,-0.042
-0.053,-0.048
0.543,-0.309
0.607,0.034
0.197,0.266
0.280,-0.054
0.607,-0.667
0.402,-0.314
0.426,-0.149
0.203,0.438
0.402,0.432
0.698,0.546
0.747,0.333
0.426,0.571
0.698,0.450
0.663,0.113
0.203,0.081
0.747,0.249
0.663,0.420
0.872,0.341
0.665,-0.054
0.446,-0.330
0.872,-0.111
0.720,-0.336
0.335,-0.649
0.665,-0.450
0.720,-0.218
0.526,-0.069
0.446,-0.327
0.335,-0.449
0.526,0.279
0.094,0.006
0.537,-0.656
0.094,-0.232
0.515,-0.268
0.537,-0.199
0.515,-0.397
0.775,-0.255
0.446,-0.096
0.533,-0.066
0.775,0.061
0.594,-0.144
0.729,0.339
0.446,0.628
0.594,-0.235
0.832,0.138
0.533,-0.192
0.729,-0.319
0.832,-0.206
0.674,0.228
0.108,0.330
0.427,0.193
0.674,0.162
0.335,-0.357
0.584,-0.056
0.108,-0.155
0.335,-0.251
0.384,0.072
0.427,0.187
0.584,-0.195
0.384,0.527
0.171,0.102
0.171,-0.488
-0.286,0.209
0.171,0.506
0.520,-0.324
-0.056,-0.156
0.171,-0.109
0.520,-0.455
0.279,-0.202
-0.286,-0.256
-0.056,-0.282
0.279,0.595
0.032,0.544
-0.130,0.612
-0.457,0.396
0.032,-0.271
0.754,-0.023
0.099,0.099
-0.130,-0.100
0.754,-0.121
0.351,-0.433
-0.457,-0.251
0.099,-0.316
0.351,0.085
0.558,-0.307
0.450,-0.145
0.342,-0.041
0.558,0.144
0.761,0.149
0.809,0.179
0.450,-0.273
0.761,-0.266
0.547,-0.325
0.342,-0.372
0.809,-0.618
0.547,-0.444
0.816,0.628
0.816,0.647
0.503,-0.000
0.654,-0.137
0.879,-0.362
0.503,0.181
0.738,-0.450
0.358,-0.248
0.654,-0.337
0.738,-0.571
0.581,0.533
0.879,0.534
0.358,0.001
0.581,0.243
0.506,0.163
0.380,0.156
0.506,-0.302
0.324,0.165
0.380,0.199
0.324,-0.151
0.849,0.143
0.610,-0.099
0.429,-0.417
0.849,0.333
0.537,-0.284
0.399,-0.480
0.610,0.512
0.537,0.183
0.120,0.333
0.429,0.254
0.399,0.061
0.120,-0.110
-0.059,0.324
-0.023,0.361
-0.059,-0.190
0.451,0.307
-0.023,0.240
0.451,0.389
0.667,-0.003
0.488,-0.027
0.555,0.029
0.667,-0.221
0.704,0.275
0.085,-0.147
0.488,-0.514
0.704,0.148
0.192,-0.133
0.555,-0.257
0.085,0.202
0.192,0.139
0.673,0.555
0.713,0.097
0.467,-0.577
0.673,-0.332
0.621,-0.264
0.433,-0.214
0.713,0.056
0.621,-0.010
0.739,-0.117
0.467,-0.322
0.433,-0.067
0.739,-0.202
0.058,-0.117
0.672,-0.422
0.591,0.041
0.058,-0.176
0.039,0.175
0.225,-0.154
0.672,0.091
0.039,-0.586
0.624,-0.572
0.591,0.127
0.225,0.475
0.624,-0.010
0.891,-0.072
0.855,-0.185
0.891,-0.082
0.988,0.304
0.855,0.452
0.988,0.290
0.263,0.406
0.182,0.147
-0.035,0.029
0.263,0.053
0.902,-0.071
0.716,0.551
0.182,0.412
0.902,0.021
0.907,0.155
-0.035,0.109
0.716,0.142
0.907,0.211
0.196,-0.420
0.539,0.187
0.404,-0.062
0.196,0.211
0.362,0.267
0.967,-0.324
0.539,-0.012
0.362,0.159
0.462,-0.473
0.404,0.490
0.967,-0.347
0.462,0.434
0.495,-0.012
0.158,0.042
0.495,0.196
0.859,0.333
0.158,-0.071
0.859,-0.193
0.784,-0.147
0.731,-0.002
0.535,0.023
0.784,-0.254
0.485,-0.065
0.185,0.429
0.731,0.374
0.485,0.185
0.645,0.301
0.535,0.094
0.185,-0.060
0.645,-0.013
0.665,-0.475
0.157,-0.064
0.222,-0.216
0.665,-0.566
0.345,-0.081
0.563,0.044
0.157,0.491
0.345,-0.688
0.644,-0.254
0.222,-0.074
0.563,-0.215
0.644,-0.150
0.741,0.065
0.943,0.410
0.741,-0.435
0.588,0.165
0.943,0.367
0.588,0.048
0.846,0.349
0.616,0.215
0.468,0.518
0.846,-0.068
0.707,0.110
0.433,-0.032
0.616,-0.228
0.707,-0.115
0.842,0.136
0.468,-0.292
0.433,0.274
0.842,-0.168
0.353,-0.400
0.709,0.122
-0.151,0.024
0.353,-0.068
0.347,0.106
-0.004,0.078
0.709,-0.384
0.347,0.148
-0.144,0.466
-0.151,0.471
-0.004,-0.382
-0.144,0.304
0.355,0.153
-0.095,-0.012
0.355,-0.137
0.443,0.593
-0.095,0.036
0.443,-0.328
0.662,-0.108
0.256,-0.106
0.281,0.319
0.662,0.041
0.149,0.286
0.459,0.304
0.256,0.498
0.149,0.371
0.209,-0.196
0.281,-0.136
0.459,-0.384
0.209,-0.139
0.266,0.130
-0.330,-0.210
0.876,-0.092
0.266,-0.179
-0.629,-0.179
0.291,-0.097
-0.330,-0.139
-0.629,-0.300
-0.374,-0.106
0.876,-0.359
0.291,0.099
-0.374,0.085
-0.052,0.069
0.468,0.027
-0.052,0.236
0.328,0.103
0.468,0.093
0.328,-0.186
0.769,-0.263
0.671,0.033
0.749,0.355
0.769,0.381
0.798,-0.583
0.685,0.027
0.671,0.182
0.798,0.149
0.694,-0.344
0.749,0.319
0.685,0.300
0.694,0.177
0.745,0.084
0.802,-0.232
0.689,-0.560
0.745,-0.186
0.833,0.338
0.853,0.053
0.802,0.097
0.833,0.124
0.724,0.095
0.689,-0.184
0.853,-0.077
0.724,-0.011
0.945,-0.004
0.865,-0.151
0.729,0.002
0.945,-0.117
0.904,-0.201
0.699,-0.114
0.865,-0.154
0.904,-0.137
0.644,-0.182
0.729,0.109
0.699,0.373
0.644,0.245
-0.083,-0.038
0.676,0.069
-0.083,0.059
0.280,0.161
0.676,0.716
0.280,0.308
0.001,0.039
0.432,-0.182
0.001,-0.208
-0.239,-0.346
0.432,-0.466
-0.239,0.051
0.609,-0.164
0.879,0.024
0.355,0.016
0.609,0.043
0.684,0.243
0.405,0.483
0.879,0.143
0.684,0.143
0.357,0.193
0.355,-0.023
0.405,-0.253
0.357,0.208
0.953,-0.007
0.438,-0.128
0.953,-0.083
0.563,0.149
0.438,0.171
0.563,-0.265
-0.027,-0.438
0.502,-0.379
