Iself,Iother
0.804,0.584
0.780,0.567
0.768,0.464
0.804,0.487
0.796,0.527
0.839,0.525
0.780,0.572
0.796,0.546
0.766,0.552
0.768,0.571
0.839,0.535
0.766,0.533
0.735,0.541
0.735,0.531
0.770,0.593
0.758,0.578
0.770,0.532
0.850,0.555
0.758,0.515
0.850,0.516
0.800,0.506
0.772,0.505
0.786,0.512
0.800,0.560
0.838,0.558
0.848,0.549
0.772,0.540
0.838,0.591
0.844,0.566
0.786,0.575
0.848,0.599
0.844,0.563
0.770,0.545
0.797,0.510
0.805,0.593
0.770,0.586
0.693,0.496
0.754,0.569
0.797,0.551
0.693,0.571
0.772,0.561
0.805,0.574
0.754,0.587
0.772,0.561
0.769,0.539
0.723,0.526
0.704,0.595
0.769,0.561
0.765,0.558
0.730,0.501
0.723,0.490
0.765,0.542
0.705,0.520
0.704,0.499
0.730,0.529
0.705,0.524
0.800,0.585
0.800,0.622
0.772,0.601
0.756,0.619
0.743,0.537
0.772,0.569
0.785,0.559
0.697,0.478
0.756,0.581
0.785,0.607
0.687,0.622
0.743,0.607
0.697,0.576
0.687,0.571
0.780,0.525
0.729,0.529
0.691,0.602
0.780,0.600
0.717,0.621
0.669,0.546
0.729,0.536
0.717,0.513
0.807,0.512
0.691,0.556
0.669,0.536
0.807,0.513
0.726,0.555
0.749,0.480
0.798,0.473
0.726,0.461
0.736,0.435
0.748,0.556
0.749,0.545
0.736,0.506
0.766,0.521
0.798,0.482
0.748,0.508
0.766,0.549
0.827,0.464
0.698,0.561
0.823,0.571
0.827,0.568
0.703,0.571
0.797,0.540
0.698,0.536
0.703,0.603
0.680,0.581
0.823,0.592
0.797,0.535
0.680,0.503
0.812,0.580
0.853,0.560
0.840,0.460
0.812,0.453
0.824,0.445
0.791,0.596
0.853,0.621
0.824,0.604
0.821,0.597
0.840,0.533
0.791,0.491
0.821,0.469
0.825,0.533
0.783,0.562
0.798,0.588
0.825,0.541
0.799,0.538
0.854,0.542
0.783,0.522
0.799,0.562
0.817,0.562
0.798,0.518
0.854,0.545
0.817,0.545
0.801,0.556
0.757,0.574
0.803,0.569
0.801,0.565
0.630,0.439
0.761,0.529
0.757,0.513
0.630,0.467
0.796,0.489
0.803,0.533
0.761,0.518
0.796,0.516
0.802,0.567
0.734,0.579
0.722,0.562
0.802,0.511
0.751,0.543
0.769,0.533
0.734,0.541
0.751,0.537
0.777,0.607
0.722,0.565
0.769,0.564
0.777,0.565
0.737,0.585
0.743,0.601
0.737,0.537
0.777,0.551
0.743,0.584
0.777,0.513
0.770,0.538
0.770,0.552
0.854,0.523
0.780,0.553
0.763,0.507
0.854,0.517
0.805,0.539
0.836,0.541
0.780,0.549
0.805,0.543
0.809,0.521
0.763,0.512
0.836,0.480
0.809,0.481
0.828,0.524
0.783,0.586
0.704,0.573
0.828,0.567
0.802,0.428
0.702,0.502
0.783,0.467
0.802,0.498
0.690,0.567
0.704,0.556
0.702,0.585
0.690,0.580
0.777,0.553
0.792,0.587
0.795,0.600
0.777,0.598
0.798,0.567
0.809,0.573
0.792,0.515
0.798,0.526
0.810,0.551
0.795,0.458
0.809,0.533
0.810,0.510
0.844,0.546
0.765,0.527
0.733,0.550
0.844,0.563
0.779,0.589
0.754,0.575
0.765,0.609
0.779,0.588
0.794,0.582
0.733,0.507
0.754,0.475
0.794,0.591
0.793,0.572
0.816,0.599
0.793,0.575
0.826,0.554
0.816,0.523
0.826,0.526
0.867,0.511
0.856,0.434
0.839,0.419
0.867,0.456
0.845,0.452
0.849,0.533
0.856,0.571
0.845,0.575
0.830,0.490
0.839,0.491
0.849,0.587
0.830,0.539
0.778,0.451
0.745,0.534
0.799,0.456
0.778,0.511
0.681,0.489
0.849,0.538
0.745,0.585
0.681,0.538
0.748,0.564
0.799,0.519
0.849,0.562
0.748,0.540
0.795,0.545
0.787,0.480
0.779,0.564
0.795,0.585
0.775,0.587
0.774,0.562
0.787,0.540
0.775,0.567
0.769,0.556
0.779,0.550
0.774,0.557
0.769,0.528
0.747,0.500
0.695,0.508
0.734,0.546
0.747,0.567
0.760,0.515
0.824,0.592
0.695,0.535
0.760,0.501
0.789,0.578
0.734,0.529
0.824,0.515
0.789,0.499
0.783,0.593
0.738,0.574
0.752,0.571
0.783,0.555
0.770,0.544
0.764,0.561
0.738,0.549
0.770,0.567
0.745,0.527
0.752,0.575
0.764,0.504
0.745,0.487
0.819,0.520
0.819,0.502
0.850,0.578
0.835,0.435
0.809,0.419
0.850,0.532
0.854,0.482
