,d
AMAS_sum,-0.02906844233598096
BDI_summary_sum,0.5525185122303159
BISBAS_BIS_sum,0.5501575811616446
BISBAS_BAS_sum,-0.23568621717163218
BPS_sum,0.26423816180589466
SCS_SelfCtrl_sum,-0.322977595214072
ESS_summary_sum,-0.20201584511010293
GoldMSI_Active_sum,-0.5871204458189434
GoldMSI_Training_sum,-0.11177308794250201
HADS-A_summary_sum,0.5734916815272711
HADS-D_summary_sum,1.0786892239944756
IAT_sum,0.06395948354014712
IMIS_NegVal_sum,-0.12047809408432864
IMIS_Help_sum,0.07431751673014837
IMIS_Movement_sum,-0.03258006572211727
IMIS_PersRef_sum,0.14770103326975262
MMI_score,0.04044184238414515
PSSI_PN,0.3189939365893609
PSSI_SZ,0.231488109640142
PSSI_ST,0.013716844646337475
PSSI_BL,0.4016165745355993
PSSI_HI,-0.12738590732655322
PSSI_NA,-0.09250432892993976
PSSI_SU,0.5132852978807216
PSSI_AB,0.5633792574850625
PSSI_ZW,0.31593206921705136
PSSI_NT,0.254064811188868
PSSI_DP,0.3882223636928176
PSSI_SL,0.08133004322845237
PSSI_RH,-0.45670198622766095
PSSI_AS,-0.47673337955534606
SE_Mean_SelfEst,-0.6285132973206337
SDS_sum,-0.3090373414469752
TPS_D_sum,0.23349029204017496
UPPS_Mean_NegUrg,0.03577727381723153
UPPS_Mean_Premed,-0.3802999947096685
UPPS_Mean_Persev,0.10827718509788206
UPPS_Mean_SS,-0.24619896328991936
UPPS_Mean_PosUrg,-0.20514893837657497
S-D-MW_delib_mean,-0.20977633357279218
S-D-MW_spont_mean,-0.03763869671888552
VIS_dialog_sum,0.25013590827016063
VIS_condensed_sum,-0.43968564384008957
VIS_other_sum,0.16815013897695275
VIS_eval_sum,-0.19710729003447744
ACS_sum,-0.19387478529791535
