,T,pval,T (pBonf<0.05),T (p<0.05)
AMAS_sum,-0.10017020657662123,0.9204955390445302,,
BDI_summary_sum,2.1927398671812233,0.031159449419930575,,2.1927398671812233
BISBAS_BIS_sum,2.0095270738159736,0.04798513877457877,,2.0095270738159736
BISBAS_BAS_sum,-0.8608766843340289,0.3919787274774419,,
BPS_sum,1.0465548277029593,0.29841794277757916,,
SCS_SelfCtrl_sum,-1.2817775939731795,0.2035330912027491,,
ESS_summary_sum,-0.8017255305838142,0.42502897829050346,,
GoldMSI_Active_sum,-2.330062033917445,0.022261495264349673,,-2.330062033917445
GoldMSI_Training_sum,-0.4435856909484187,0.6585104048170027,,
HADS-A_summary_sum,2.2759745524281216,0.02545525547596168,,2.2759745524281216
HADS-D_summary_sum,4.280915142921945,5.0182497622111074e-05,4.280915142921945,4.280915142921945
IAT_sum,0.25383133114703754,0.8002612465514719,,
IMIS_NegVal_sum,-0.4675687684037512,0.6413802389062071,,
IMIS_Help_sum,0.28842214041017616,0.7737790240776282,,
IMIS_Movement_sum,-0.12644141924706254,0.8997037747035346,,
IMIS_PersRef_sum,0.5732194781365059,0.568124230733392,,
MMI_score,0.16017597571474276,0.8731412306060231,,
PSSI_PN,1.2659679389294347,0.20910945790102214,,
PSSI_SZ,0.9186899543644039,0.36095223546937527,,
PSSI_ST,0.054437039560075035,0.956719381610917,,
PSSI_BL,1.5938663679342477,0.1148134747004392,,
PSSI_HI,-0.505547146980571,0.6145308473226415,,
PSSI_NA,-0.3671151743183074,0.7144788334086112,,
PSSI_SU,2.0370378747271474,0.044872111268131454,,2.0370378747271474
PSSI_AB,2.23584211367655,0.02807943889940285,,2.23584211367655
PSSI_ZW,1.253816529507544,0.2134715087310997,,
PSSI_NT,1.008288460947488,0.3162820809894108,,
PSSI_DP,1.5407097415873,0.12723779231509103,,
PSSI_SL,0.3227686027509265,0.747692067079143,,
PSSI_RH,-1.8124798182414545,0.07357210086323802,,
PSSI_AS,-1.8919769459802147,0.062023742021275405,,
SE_Mean_SelfEst,-2.494334820611393,0.01462791144248151,,-2.494334820611393
SDS_sum,-1.2264539269518755,0.22353806196643478,,
TPS_D_sum,0.9266358694292206,0.35683494882303946,,
UPPS_Mean_NegUrg,0.14198665366238578,0.887438822942934,,
UPPS_Mean_Premed,-1.509268814401444,0.13507379896578275,,
UPPS_Mean_Persev,0.4297117566466572,0.6685324147671066,,
UPPS_Mean_SS,-0.9770718448605707,0.33140736946146243,,
UPPS_Mean_PosUrg,-0.8141596090099983,0.4179115896699024,,
S-D-MW_delib_mean,-0.8325240143708067,0.40753138124067234,,
S-D-MW_spont_mean,-0.14937394678613083,0.8816253410841379,,
VIS_dialog_sum,0.9926961108751644,0.3237783973224333,,
VIS_condensed_sum,-1.7449483029692934,0.08474027191614865,,
VIS_other_sum,0.6673251759809488,0.5064381081590925,,
VIS_eval_sum,-0.7822453065436608,0.43632349061602127,,
ACS_sum,-0.7694167010764883,0.4438566936661196,,
