,U,pval,U (pBonf<0.05),U (p<0.05)
AMAS_sum,419.5,0.9170079162861646,,
BDI_summary_sum,863.0,0.03693923154451393,,863.0
BISBAS_BIS_sum,674.0,0.07880348882477214,,
BISBAS_BAS_sum,465.0,0.46031935750537234,,
BPS_sum,767.5,0.22412787867559314,,
SCS_SelfCtrl_sum,534.5,0.19038474054637378,,
ESS_summary_sum,567.5,0.33134659911315145,,
GoldMSI_Active_sum,453.0,0.03148756920123162,,453.0
GoldMSI_Training_sum,609.0,0.5907989985103176,,
HADS-A_summary_sum,810.0,0.12275564346049209,,
HADS-D_summary_sum,985.5,0.0007361418427223083,985.5,985.5
IAT_sum,689.5,0.7761317124856838,,
IMIS_NegVal_sum,593.0,0.8559629769526089,,
IMIS_Help_sum,633.5,0.79658694783287,,
IMIS_Movement_sum,607.0,0.977913568262062,,
IMIS_PersRef_sum,665.5,0.5347410056540725,,
MMI_score,661.0,0.9207329178736047,,
PSSI_PN,793.0,0.17418289817250143,,
PSSI_SZ,741.0,0.4132885506552898,,
PSSI_ST,640.0,0.8277769459971165,,
PSSI_BL,832.0,0.07807223285983092,,
PSSI_HI,640.5,0.8317842487726156,,
PSSI_NA,609.0,0.5901799544282915,,
PSSI_SU,862.5,0.037785714397853096,,862.5
PSSI_AB,842.5,0.06163045487036363,,
PSSI_ZW,725.0,0.5139814214988874,,
PSSI_NT,774.0,0.2458049917849746,,
PSSI_DP,787.0,0.19461158710987547,,
PSSI_SL,687.5,0.7914749676942752,,
PSSI_RH,506.0,0.10785550543954499,,
PSSI_AS,514.0,0.12666739614161468,,
SE_Mean_SelfEst,459.5,0.03632951335938112,,459.5
SDS_sum,536.0,0.1929343711046514,,
TPS_D_sum,785.0,0.20354833071246292,,
UPPS_Mean_NegUrg,687.5,0.7917952575620897,,
UPPS_Mean_Premed,521.5,0.147947046010321,,
UPPS_Mean_Persev,704.5,0.6597357245123352,,
UPPS_Mean_SS,560.5,0.29859706538697905,,
UPPS_Mean_PosUrg,621.5,0.682667993873276,,
S-D-MW_delib_mean,621.5,0.6799389456002296,,
S-D-MW_spont_mean,664.0,0.9833858130479162,,
VIS_dialog_sum,779.5,0.22323252444971775,,
VIS_condensed_sum,490.5,0.0771991035296406,,
VIS_other_sum,724.0,0.5052448614502291,,
VIS_eval_sum,577.5,0.3869594004272302,,
ACS_sum,611.0,0.6046068454925139,,
