Pearson R,Category
0.41,Personality/Well-being
0.23,Personality/Well-being
0.4,Personality/Well-being
0.25,Personality/Well-being
0.23,Personality/Well-being
0.27,Personality/Well-being
0.22,Personality/Well-being
0.398,Personality/Well-being
0.163,Personality/Well-being
0.24,Personality/Well-being
0.2,Personality/Well-being
0.25,Personality/Well-being
0.24,Personality/Well-being
0.24,Personality/Well-being
0.505,Personality/Well-being
0.281,Personality/Well-being
0.24,Personality/Well-being
0.31,Personality/Well-being
0.22,Personality/Well-being
0.22,Personality/Well-being
0.484,Personality/Well-being
0.23,Clinical
0.34,Clinical
0.18,Clinical
0.36,Clinical
0.28,Clinical
0.284,Clinical
0.326,Clinical
0.35,Clinical
0.41,Clinical
0.33,Clinical
0.38,Clinical
0.29,Clinical
0.2,Clinical
0.41,Clinical
0.395,Clinical
0.4,Clinical
0.382,Clinical
0.202,Clinical
0.41,Clinical
0.31,Clinical
0.65,Clinical
0.32,Clinical
0.19,Clinical
0.32,Clinical
0.3,Clinical
0.23,Clinical
0.37,Clinical
0.27,Clinical
0.27,Clinical
0.43,Clinical
0.53,Clinical
0.4,Clinical
0.6,Clinical
0.44,Clinical
0.1,Clinical
0.464,Clinical
0.49,Cognition
0.38,Cognition
0.35,Cognition
0.33,Cognition
0.55,Cognition
0.6,Cognition
0.55,Cognition
0.51,Cognition
0.22,Cognition
0.23,Cognition
0.35,Cognition
0.42,Cognition
0.24,Cognition
0.51,Cognition
0.6,Cognition
0.54,Cognition
0.46,Cognition
0.58,Cognition
0.65,Cognition
0.41,Cognition
0.45,Cognition
0.52,Cognition
0.27,Cognition
0.33,Cognition
0.22,Cognition
0.45,Cognition
0.244,Cognition
0.152,Cognition
0.25,Cognition
0.59,Cognition
0.51,Cognition
0.43,Cognition
0.31,Cognition
0.56,Cognition
0.63,Cognition
0.48,Cognition
0.54,Cognition
0.28,Cognition
0.36,Cognition
0.54,Cognition
0.54,Cognition
0.18,Cognition
0.18,Cognition
