,Question,Iteration,R
0,Thought Pattern 1,0,0.4247
1,Thought Pattern 1,1,0.4411
2,Thought Pattern 1,2,0.4022
3,Thought Pattern 1,3,0.4293
4,Thought Pattern 1,4,0.4370
5,Thought Pattern 1,5,0.4064
6,Thought Pattern 1,6,0.4196
7,Thought Pattern 1,7,0.3958
8,Thought Pattern 1,8,0.4318
9,Thought Pattern 1,9,0.4443
10,Thought Pattern 1,10,0.4323
11,Thought Pattern 1,11,0.3988
12,Thought Pattern 1,12,0.4271
13,Thought Pattern 1,13,0.4055
14,Thought Pattern 1,14,0.4336
15,Thought Pattern 1,15,0.4239
16,Thought Pattern 1,16,0.4442
17,Thought Pattern 1,17,0.4203
18,Thought Pattern 1,18,0.4198
19,Thought Pattern 1,19,0.4249
20,Thought Pattern 1,20,0.4319
21,Thought Pattern 1,21,0.4121
22,Thought Pattern 1,22,0.4019
23,Thought Pattern 1,23,0.4050
24,Thought Pattern 1,24,0.4194
25,Thought Pattern 1,25,0.4056
26,Thought Pattern 1,26,0.4436
27,Thought Pattern 1,27,0.4138
28,Thought Pattern 1,28,0.4215
29,Thought Pattern 1,29,0.4393
30,Thought Pattern 1,30,0.3979
31,Thought Pattern 1,31,0.4179
32,Thought Pattern 1,32,0.4097
33,Thought Pattern 1,33,0.4326
34,Thought Pattern 1,34,0.3888
35,Thought Pattern 1,35,0.4542
36,Thought Pattern 1,36,0.4291
37,Thought Pattern 1,37,0.4556
38,Thought Pattern 1,38,0.4233
39,Thought Pattern 1,39,0.4338
40,Thought Pattern 1,40,0.4116
41,Thought Pattern 1,41,0.4126
42,Thought Pattern 1,42,0.4248
43,Thought Pattern 1,43,0.4212
44,Thought Pattern 1,44,0.4260
45,Thought Pattern 1,45,0.3983
46,Thought Pattern 1,46,0.4226
47,Thought Pattern 1,47,0.4288
48,Thought Pattern 1,48,0.4237
49,Thought Pattern 1,49,0.4467
50,Thought Pattern 1,50,0.4407
51,Thought Pattern 1,51,0.4214
52,Thought Pattern 1,52,0.3995
53,Thought Pattern 1,53,0.4020
54,Thought Pattern 1,54,0.4259
55,Thought Pattern 1,55,0.4147
56,Thought Pattern 1,56,0.4186
57,Thought Pattern 1,57,0.4049
58,Thought Pattern 1,58,0.4159
59,Thought Pattern 1,59,0.4129
60,Thought Pattern 1,60,0.4245
61,Thought Pattern 1,61,0.4022
62,Thought Pattern 1,62,0.4254
63,Thought Pattern 1,63,0.4359
64,Thought Pattern 1,64,0.4121
65,Thought Pattern 1,65,0.4115
66,Thought Pattern 1,66,0.4322
67,Thought Pattern 1,67,0.4301
68,Thought Pattern 1,68,0.4516
69,Thought Pattern 1,69,0.4270
70,Thought Pattern 1,70,0.4112
71,Thought Pattern 1,71,0.4142
72,Thought Pattern 1,72,0.4457
73,Thought Pattern 1,73,0.4009
74,Thought Pattern 1,74,0.4252
75,Thought Pattern 1,75,0.4269
76,Thought Pattern 1,76,0.3945
77,Thought Pattern 1,77,0.4514
78,Thought Pattern 1,78,0.4213
79,Thought Pattern 1,79,0.4140
80,Thought Pattern 1,80,0.4265
81,Thought Pattern 1,81,0.4198
82,Thought Pattern 1,82,0.4183
83,Thought Pattern 1,83,0.4445
84,Thought Pattern 1,84,0.4137
85,Thought Pattern 1,85,0.4408
86,Thought Pattern 1,86,0.4208
87,Thought Pattern 1,87,0.4171
88,Thought Pattern 1,88,0.4289
89,Thought Pattern 1,89,0.4255
90,Thought Pattern 1,90,0.4201
91,Thought Pattern 1,91,0.4432
92,Thought Pattern 1,92,0.4103
93,Thought Pattern 1,93,0.3816
94,Thought Pattern 1,94,0.4261
95,Thought Pattern 1,95,0.4013
96,Thought Pattern 1,96,0.4564
97,Thought Pattern 1,97,0.4309
98,Thought Pattern 1,98,0.4394
99,Thought Pattern 1,99,0.4199
100,Thought Pattern 2,0,0.3970
101,Thought Pattern 2,1,0.4213
102,Thought Pattern 2,2,0.3813
103,Thought Pattern 2,3,0.3820
104,Thought Pattern 2,4,0.4138
105,Thought Pattern 2,5,0.4043
106,Thought Pattern 2,6,0.3939
107,Thought Pattern 2,7,0.4071
108,Thought Pattern 2,8,0.4231
109,Thought Pattern 2,9,0.4069
110,Thought Pattern 2,10,0.3983
111,Thought Pattern 2,11,0.3920
112,Thought Pattern 2,12,0.3901
113,Thought Pattern 2,13,0.3888
114,Thought Pattern 2,14,0.3879
115,Thought Pattern 2,15,0.4015
116,Thought Pattern 2,16,0.4067
117,Thought Pattern 2,17,0.3985
118,Thought Pattern 2,18,0.4167
119,Thought Pattern 2,19,0.4116
120,Thought Pattern 2,20,0.4054
121,Thought Pattern 2,21,0.3971
122,Thought Pattern 2,22,0.4071
123,Thought Pattern 2,23,0.3933
124,Thought Pattern 2,24,0.4096
125,Thought Pattern 2,25,0.3905
126,Thought Pattern 2,26,0.4005
127,Thought Pattern 2,27,0.4061
128,Thought Pattern 2,28,0.4005
129,Thought Pattern 2,29,0.4132
130,Thought Pattern 2,30,0.4029
131,Thought Pattern 2,31,0.4098
132,Thought Pattern 2,32,0.4048
133,Thought Pattern 2,33,0.4011
134,Thought Pattern 2,34,0.3891
135,Thought Pattern 2,35,0.4178
136,Thought Pattern 2,36,0.3902
137,Thought Pattern 2,37,0.3952
138,Thought Pattern 2,38,0.4071
139,Thought Pattern 2,39,0.4183
140,Thought Pattern 2,40,0.3901
141,Thought Pattern 2,41,0.4045
142,Thought Pattern 2,42,0.4179
143,Thought Pattern 2,43,0.4085
144,Thought Pattern 2,44,0.4202
145,Thought Pattern 2,45,0.3913
146,Thought Pattern 2,46,0.3940
147,Thought Pattern 2,47,0.4108
148,Thought Pattern 2,48,0.4101
149,Thought Pattern 2,49,0.4245
150,Thought Pattern 2,50,0.4058
151,Thought Pattern 2,51,0.3983
152,Thought Pattern 2,52,0.4042
153,Thought Pattern 2,53,0.4106
154,Thought Pattern 2,54,0.4101
155,Thought Pattern 2,55,0.4038
156,Thought Pattern 2,56,0.4033
157,Thought Pattern 2,57,0.4100
158,Thought Pattern 2,58,0.4061
159,Thought Pattern 2,59,0.4050
160,Thought Pattern 2,60,0.4122
161,Thought Pattern 2,61,0.3850
162,Thought Pattern 2,62,0.3953
163,Thought Pattern 2,63,0.4105
164,Thought Pattern 2,64,0.3770
165,Thought Pattern 2,65,0.4052
166,Thought Pattern 2,66,0.4056
167,Thought Pattern 2,67,0.4013
168,Thought Pattern 2,68,0.4234
169,Thought Pattern 2,69,0.3818
170,Thought Pattern 2,70,0.3823
171,Thought Pattern 2,71,0.4075
172,Thought Pattern 2,72,0.4141
173,Thought Pattern 2,73,0.3952
174,Thought Pattern 2,74,0.4127
175,Thought Pattern 2,75,0.4154
176,Thought Pattern 2,76,0.3688
177,Thought Pattern 2,77,0.4087
178,Thought Pattern 2,78,0.4186
179,Thought Pattern 2,79,0.3990
180,Thought Pattern 2,80,0.3842
181,Thought Pattern 2,81,0.4031
182,Thought Pattern 2,82,0.4089
183,Thought Pattern 2,83,0.3990
184,Thought Pattern 2,84,0.4130
185,Thought Pattern 2,85,0.3757
186,Thought Pattern 2,86,0.4049
187,Thought Pattern 2,87,0.3990
188,Thought Pattern 2,88,0.4100
189,Thought Pattern 2,89,0.4065
190,Thought Pattern 2,90,0.3732
191,Thought Pattern 2,91,0.3954
192,Thought Pattern 2,92,0.3738
193,Thought Pattern 2,93,0.3964
194,Thought Pattern 2,94,0.4103
195,Thought Pattern 2,95,0.4073
196,Thought Pattern 2,96,0.4132
197,Thought Pattern 2,97,0.3931
198,Thought Pattern 2,98,0.4102
199,Thought Pattern 2,99,0.4129
200,Wakefulness,0,0.4372
201,Wakefulness,1,0.4500
202,Wakefulness,2,0.4368
203,Wakefulness,3,0.4176
204,Wakefulness,4,0.4342
205,Wakefulness,5,0.4392
206,Wakefulness,6,0.4298
207,Wakefulness,7,0.4388
208,Wakefulness,8,0.4396
209,Wakefulness,9,0.4524
210,Wakefulness,10,0.4329
211,Wakefulness,11,0.4388
212,Wakefulness,12,0.4416
213,Wakefulness,13,0.4379
214,Wakefulness,14,0.4494
215,Wakefulness,15,0.4287
216,Wakefulness,16,0.4556
217,Wakefulness,17,0.4328
218,Wakefulness,18,0.4301
219,Wakefulness,19,0.4309
220,Wakefulness,20,0.4426
221,Wakefulness,21,0.4399
