Factor 1,Factor 2,Intercept,Age (younger),Age (elder),Gender (M),Gender (F)
0.63,0.36,,,,,
0.64,0.57,,,,,
0.48,0.65,,,,,
0.46,0.65,,,,,
0.52,0.33,,,,,
0.93,0.20,,,,,
0.44,0.66,,,,,
0.39,0.56,,,,,
0.36,0.47,,,,,
0.57,0.36,,,,,
0.65,0.37,,,,,
0.65,0.42,,,,,
0.49,0.32,,,,,
0.44,0.55,,,,,
0.21,0.49,,,,,
0.18,0.67,,,,,
0.15,0.81,,,,,
0.75,0.70,,,,,
0.60,0.58,,,,,
0.57,0.93,,,,,
0.70,0.92,,,,,
0.51,0.47,,,,,
0.26,0.50,,,,,
0.18,0.41,,,,,
0.11,0.57,,,,,
0.18,0.41,,,,,
0.38,0.35,,,,,
0.49,0.49,,,,,
0.31,0.66,,,,,
0.34,0.59,,,,,
0.71,0.41,,,,,
0.68,0.59,,,,,
0.65,0.54,,,,,
0.63,0.52,,,,,
0.63,0.43,,,,,
0.55,0.64,,,,,
0.86,0.26,,,,,
0.70,0.04,,,,,
0.67,0.31,,,,,
0.60,0.42,,,,,
0.46,0.51,,,,,
0.28,0.51,,,,,
0.39,0.57,,,,,
0.81,0.16,,,,,
0.72,0.30,,,,,
0.57,0.42,,,,,
0.45,0.74,,,,,
0.66,0.34,,,,,
0.60,0.43,,,,,
0.50,0.66,,,,,
0.59,0.44,,,,,
0.37,0.58,,,,,
0.35,0.61,,,,,
0.41,0.61,,,,,
0.42,0.61,,,,,
0.73,0.42,,,,,
0.36,0.53,,,,,
0.34,0.61,,,,,
0.40,0.80,,,,,
0.48,0.60,,,,,
0.88,0.53,,,,,
0.88,0.48,,,,,
0.37,0.33,,,,,
0.11,0.49,,,,,
0.90,0.37,,,,,
0.85,0.68,,,,,
0.76,0.83,,,,,
0.68,0.68,,,,,
0.82,0.18,,,,,
0.61,0.15,,,,,
0.65,0.17,,,,,
0.50,0.37,,,,,
0.64,0.38,,,,,
0.58,0.44,,,,,
0.53,0.52,,,,,
0.64,0.33,,,,,
0.53,0.59,,,,,
0.48,0.45,,,,,
0.41,0.55,,,,,
0.70,0.39,,,,,
0.67,0.40,,,,,
0.83,0.36,,,,,
0.70,0.43,,,,,
0.61,0.57,,,,,
0.41,0.46,,,,,
0.36,0.60,,,,,
0.70,0.42,,,,,
0.48,0.88,,,,,
0.85,0.63,,,,,
0.87,0.58,,,,,
0.77,0.51,,,,,
0.83,0.22,,,,,
0.37,0.53,,,,,
0.28,0.48,,,,,
0.52,0.54,,,,,
0.83,0.42,,,,,
0.90,0.07,,,,,
0.72,0.19,,,,,
0.78,0.02,,,,,
0.74,0.07,,,,,
0.93,0.07,,,,,
0.79,0.40,,,,,
0.25,0.65,,,,,
0.59,0.42,,,,,
0.82,0.30,,,,,
0.44,0.50,,,,,
0.60,0.53,,,,,
0.58,0.58,,,,,
0.49,0.49,,,,,
0.47,0.51,,,,,
0.47,0.38,,,,,
0.58,0.24,,,,,
0.68,0.26,,,,,
0.49,0.40,,,,,
0.70,0.48,,,,,
0.46,0.61,,,,,
0.61,0.59,,,,,
0.57,0.56,,,,,
0.00,0.83,,,,,
0.61,0.42,,,,,
0.60,0.55,,,,,
0.51,0.49,,,,,
0.68,0.51,,,,,
0.86,0.16,,,,,
0.65,0.33,,,,,
0.21,0.32,,,,,
0.47,0.25,,,,,
0.43,0.41,,,,,
0.43,0.43,,,,,
0.09,1.00,,,,,
0.12,1.00,,,,,
0.25,1.00,,,,,
0.42,0.32,,,,,
0.63,0.31,,,,,
0.62,0.33,,,,,
0.66,0.30,,,,,
0.95,0.18,,,,,
0.86,0.19,,,,,
0.86,0.22,,,,,
0.92,0.00,,,,,
0.71,0.22,,,,,
0.78,0.16,,,,,
0.94,0.08,,,,,
0.63,0.44,,,,,
0.58,0.50,,,,,
0.69,0.52,,,,,
0.70,0.38,,,,,
0.85,0.42,,,,,
0.76,0.35,,,,,
0.64,0.66,,,,,
0.79,0.46,,,,,
0.74,0.01,,,,,
0.71,0.00,,,,,
0.65,0.03,,,,,
0.52,0.45,,,,,
0.54,0.49,,,,,
0.31,0.36,,,,,
0.17,0.20,,,,,
0.45,0.65,,,,,
0.46,0.43,,,,,
0.55,0.36,,,,,
0.59,0.41,,,,,
0.65,0.84,,,,,
0.80,0.55,,,,,
0.48,0.23,,,,,
0.65,0.58,,,,,
0.73,0.66,,,,,
0.76,0.50,,,,,
0.73,0.53,,,,,
0.64,0.40,,,,,
0.88,0.03,,,,,
0.27,0.70,,,,,
0.65,0.34,,,,,
0.54,0.00,,,,,
0.24,0.64,,,,,
0.34,0.59,,,,,
0.37,0.36,,,,,
0.63,0.53,,,,,
0.54,0.58,,,,,
0.55,0.52,,,,,
0.62,0.53,,,,,
0.59,0.41,,,,,
0.64,0.42,,,,,
0.44,0.39,,,,,
0.58,0.40,,,,,
0.79,0.00,,,,,
0.87,0.00,,,,,
0.82,0.01,,,,,
0.92,0.02,,,,,
0.86,0.00,,,,,
0.51,0.18,,,,,
0.70,0.21,,,,,
