Factor 1,Factor 2,Intercept,Age (younger),Age (elder),Gender (M),Gender (F)
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.64,0.36,0.00,1.00
,,1.00,0.64,0.36,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.64,0.36,0.00,1.00
,,1.00,0.64,0.36,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.93,0.07,1.00,0.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.36,0.64,1.00,0.00
,,1.00,0.36,0.64,1.00,0.00
,,1.00,0.36,0.64,1.00,0.00
,,1.00,0.36,0.64,1.00,0.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.79,0.21,1.00,0.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.79,0.21,0.00,1.00
,,1.00,0.93,0.07,0.00,1.00
