,Pearson R,Spearman R
Thought Pattern 1,0.13976882863900125,0.1283682708738282
Thought Pattern 2,0.20310486759933344,0.2083460997560712
Wakefulness,0.2805574931634016,0.2887727018403424
Images,0.14458854069264232,0.11399607061722021
Words,0.07310054434582255,0.059489203503176206
People,0.10501959644454464,0.10007479553367139
Myself,0.029272046564801,0.02214686446188511
Positive,-0.014358405442731283,-0.03258665754696241
Negative,0.08632634214181212,0.08280598410798476
Surroundings,0.16581104805269192,0.15939317906609113
Intrusive,0.03177895096128473,0.03894392894075334
Future,-0.018725296611169104,-0.035985783032464524
Past,0.13458823543955545,0.12464262740540927
Specific,0.01957978574085465,0.021780505934205524
