subject,ses-01,ses-02,anat_path
sub-010014,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010014/ses-02/anat
sub-010079,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010079/ses-01/anat
sub-010080,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010080/ses-01/anat
sub-010082,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010082/ses-02/anat
sub-010084,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010084/ses-01/anat
sub-010085,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010085/ses-01/anat
sub-010015,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010015/ses-01/anat
sub-010086,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010086/ses-01/anat
sub-010087,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010087/ses-01/anat
sub-010088,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010088/ses-01/anat
sub-010090,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010090/ses-01/anat
sub-010091,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010091/ses-01/anat
sub-010016,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010016/ses-01/anat
sub-010092,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010092/ses-01/anat
sub-010093,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010093/ses-01/anat
sub-010094,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010094/ses-01/anat
sub-010096,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010096/ses-02/anat
sub-010017,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010017/ses-01/anat
sub-010097,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010097/ses-02/anat
sub-010098,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010098/ses-02/anat
sub-010099,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010099/ses-02/anat
sub-010101,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010101/ses-02/anat
sub-010102,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010102/ses-02/anat
sub-010103,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010103/ses-02/anat
sub-010105,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010105/ses-02/anat
sub-010106,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010106/ses-02/anat
sub-010107,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010107/ses-02/anat
sub-010108,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010108/ses-02/anat
sub-010018,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010018/ses-02/anat
sub-010111,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010111/ses-02/anat
sub-010112,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010112/ses-02/anat
sub-010113,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010113/ses-02/anat
sub-010114,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010114/ses-02/anat
sub-010115,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010115/ses-02/anat
sub-010116,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010116/ses-02/anat
sub-010117,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010117/ses-02/anat
sub-010118,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010118/ses-02/anat
sub-010120,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010120/ses-02/anat
sub-010121,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010121/ses-02/anat
sub-010122,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010122/ses-02/anat
sub-010123,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010123/ses-02/anat
sub-010124,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010124/ses-02/anat
sub-010125,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010125/ses-02/anat
sub-010126,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010126/ses-01/anat
sub-010127,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010127/ses-02/anat
sub-010128,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010128/ses-02/anat
sub-010020,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010020/ses-01/anat
sub-010129,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010129/ses-02/anat
sub-010130,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010130/ses-02/anat
sub-010131,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010131/ses-02/anat
sub-010132,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010132/ses-02/anat
sub-010133,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010133/ses-02/anat
sub-010135,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010135/ses-02/anat
sub-010136,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010136/ses-01/anat
sub-010137,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010137/ses-01/anat
sub-010021,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010021/ses-01/anat
sub-010138,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010138/ses-01/anat
sub-010141,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010141/ses-01/anat
sub-010142,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010142/ses-01/anat
sub-010143,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010143/ses-02/anat
sub-010144,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010144/ses-02/anat
sub-010145,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010145/ses-02/anat
sub-010147,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010147/ses-02/anat
sub-010151,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010151/ses-02/anat
sub-010152,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010152/ses-01/anat
sub-010153,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010153/ses-02/anat
sub-010154,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010154/ses-02/anat
sub-010155,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010155/ses-01/anat
sub-010156,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010156/ses-02/anat
sub-010157,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010157/ses-01/anat
sub-010158,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010158/ses-02/anat
sub-010159,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010159/ses-02/anat
sub-010161,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010161/ses-02/anat
sub-010022,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010022/ses-01/anat
sub-010162,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010162/ses-01/anat
sub-010163,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010163/ses-01/anat
sub-010164,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010164/ses-01/anat
sub-010165,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010165/ses-01/anat
sub-010167,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010167/ses-02/anat
sub-010168,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010168/ses-01/anat
sub-010171,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010171/ses-02/anat
sub-010023,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010023/ses-01/anat
sub-010173,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010173/ses-02/anat
sub-010174,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010174/ses-02/anat
sub-010175,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010175/ses-02/anat
sub-010176,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010176/ses-01/anat
sub-010024,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010024/ses-01/anat
sub-010184,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010184/ses-02/anat
sub-010185,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010185/ses-02/anat
sub-010186,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010186/ses-02/anat
sub-010187,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010187/ses-02/anat
sub-010188,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010188/ses-02/anat
sub-010189,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010189/ses-02/anat
sub-010190,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010190/ses-02/anat
sub-010191,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010191/ses-01/anat
sub-010192,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010192/ses-01/anat
sub-010194,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010194/ses-01/anat
sub-010195,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010195/ses-01/anat
sub-010196,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010196/ses-01/anat
sub-010198,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010198/ses-02/anat
sub-010200,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010200/ses-01/anat
sub-010201,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010201/ses-01/anat
sub-010203,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010203/ses-01/anat
sub-010204,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010204/ses-01/anat
sub-010205,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010205/ses-02/anat
sub-010206,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010206/ses-02/anat
sub-010208,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010208/ses-02/anat
sub-010209,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010209/ses-02/anat
sub-010210,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010210/ses-01/anat
sub-010211,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010211/ses-02/anat
sub-010212,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010212/ses-02/anat
sub-010213,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010213/ses-01/anat
sub-010214,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010214/ses-01/anat
sub-010216,True,False,/data/DSST/MPI_LEMON/ds000221-download/sub-010216/ses-01/anat
sub-010217,False,True,/data/DSST/MPI_LEMON/ds000221-download/sub-010217/ses-02/anat
