Publication Year,Document Title,Healthy Controls (N),Patients (N),Bo,Dur (s),TR(s),Edge Threshold (T),Edge Threshold (p),Size,# Permut.,Network Threshold,# ROIS,# Conns,# Sig. Edges,% Sig. Edges,# Sig. Nodes,% Sig. Nodes,Clinical Condition
2019,Brain functional connectivity is altered in patients with Takotsubo Syndrome,8,8,1.5T,380,2,T > 4.14,,,5000,pFWE < 0.05,268,35778,39,0.1%,36,13.43%,Takotsubo Syndrome
2019,Functional brain connectome and its relation to mild cognitive impairment in cerebral small vessel disease patients with thalamus lacunes: A cross-sectional study,34,14,3.0T,420,2,T > 2.02,,,10000,,90,4005,13,0.3%,6,6.67%,Cerebral Small Vessel Disease with Thlamus Lacunes
2019,Aberrant brain structural–functional connectivity coupling in euthymic bipolar disorder,42,57,3.0T,480,2,T > 3.1,,Extent,10000,pFWE < 0.05,90,4005,85,2.1%,68,75.56%,Bipolar disorder
2019,Aberrant brain network topology in fronto-limbic circuitry differentiates euthymic bipolar disorder from recurrent major depressive disorder,30,20,3.0T,600,2,T > 3.4,,Intensity,10000,pFWE < 0.05,90,4005,11,0.3%,11,12.22%,Bipolar Disorder
2019,Early functional connectivity predicts recovery from visual field defects after stroke,15,32,3.0T,240,2,T > 3.0,,Extent,5000,pFWE < 0.05,82,3321,9,0.3%,6,7.32%,Stroke
2019,Resting-state functional connectivity after concussion is associated with clinical recovery,60,62,3.0T,360.72,0.72,t > 2.5,,,10000,pFWE < 0.05,200,19900,1464,7.4%,180,90.00%,Concussion
2019,Cognitive performance in mid-stage Parkinson’s disease: functional connectivity under chronic antiparkinson treatment,16,16,3.0T,,2,T > 6,,Intensity,5000,pFWE < 0.05,206,21115,15,0.1%,20,9.71%,Parkinson's Disease
2019,Disrupted topological organization of human brain connectome in diabetic retinopathy patients,38,35,3.0T,,2,T > 2.649,,,10000,,90,4005,52,1.3%,40,44.44%,Diabetic Retinopathy
2019,Functional network-based statistics reveal abnormal resting-state functional connectivity in minimal hepatic encephalopathy,19,19,3.0T,360,2,T > 3.1,,,5000,pFWE < 0.05,90,4005,43,1.1%,29,32.22%,Anorexia Nerviosa
2019,Data-Driven Clustering Reveals a Link Between Symptoms and Functional Brain Connectivity in Depression,72,178,3.0T,500,2.5,p < 0.05,,,10000,pFWE < 0.05,19,171,22,12.9%,15,78.95%,Depression
2018,Altered cerebellar-insular-parietal-cingular subnetwork in adolescents in the earliest stages of anorexia nervosa: A network-based statistic analysis,15,15,1.5T,284.8,3.56,T > 3.1,,,10000,pFWE < 0.05,128,8128,31,0.4%,30,23.44%,Anorexia Nerviosa
2018,Brain-behavior patterns define a dimensional biotype in medication-naïve adults with attention-deficit hyperactivity disorder,123,80,3.0T,459,2.55,T > 3.5,,,10000,pFWE < 0.05,253,31878,41,0.1%,40,15.81%,Attention Deficit Hyperactivity Disorder
2018,Evaluating functional connectivity alterations in autism spectrum disorder using network-based statistics,82,74,3.0T,360,2,T > 3,,Extent,5000,pFWE < 0.025,116,6670,158,2.4%,105,90.52%,Autism Spectrum Disorder
2018,Impact of Zika Virus on adult human brain structure and functional organization,9,9,3.0T,360,2,T > 3.6,,Extent,5000,,160,12720,19,0.1%,20,12.50%,Zika Virus
2018,Progressively disrupted brain functional connectivity network in subcortical ischemic vascular cognitive impairment patients,19,20,3.0T,480,2,p < 0.005,,Extent,10000,,90,4005,93,2.3%,38,42.22%,Subcortical Ischemic Vascular Cognitive Impairment w/o Dementia
,,19,20,,,,p < 0.005,,Extent,10000,,90,4005,141,3.5%,66,73.33%,Subcortical Ischemic Vascular Cognitive Impairment with Dementia
