Subject,Run,TSNE1,TSNE2,TSNE3,Positive,Negative,Future,Past,Myself,People,Surroundings,Images,Words,Specific,Intrusive,Set Label,Group Probability
sub-010014,post-ses-02-run-01-acq-AP,2.843978,-5.0014043,-1.0304434,0.6,-0.42857142857142855,-0.6,0.125,-0.7142857142857143,-0.2,0.11764705882352941,0.7142857142857143,0.8421052631578947,-0.875,-0.2857142857142857,Set B,0.9256324911886963
sub-010014,post-ses-02-run-01-acq-PA,0.48037615,2.531097,-1.4794785,-0.2,-0.5714285714285714,0.4,0.5,0.2857142857142857,-0.2,0.7058823529411765,0.7142857142857143,0.7368421052631579,-0.875,0.42857142857142855,Set B,0.9397791150397065
sub-010014,post-ses-02-run-02-acq-AP,-4.0406785,7.252702,1.2371172,-0.4,0.8571428571428571,0.0,-0.25,-0.14285714285714285,-0.4,0.35294117647058826,0.14285714285714285,0.7368421052631579,-0.75,0.5714285714285714,Ambiguous,0.5748448518274198
sub-010014,post-ses-02-run-02-acq-PA,-3.5982518,8.864883,0.9959253,-1.0,0.7142857142857143,1.2,-1.125,0.0,-0.4,0.23529411764705882,0.2857142857142857,0.8421052631578947,-0.75,0.42857142857142855,Ambiguous,0.6675511494312444
sub-010080,post-ses-02-run-02-acq-AP,4.039912,-3.8956394,-1.4351463,0.4,-0.2857142857142857,-0.6,-0.5,-0.5714285714285714,0.0,0.5882352941176471,0.0,0.0,-0.5,-0.8571428571428571,Set B,0.8748080500157179
sub-010080,post-ses-02-run-02-acq-PA,3.6065419,-5.423866,-12.782285,1.4,-0.5714285714285714,1.0,0.5,-0.2857142857142857,1.2,-0.11764705882352941,0.7142857142857143,-0.21052631578947367,0.75,0.0,Set B,0.9999793340659927
sub-010082,post-ses-02-run-01-acq-AP,-7.6452084,11.143087,1.6353383,-1.6,1.1428571428571428,0.6,-1.125,0.14285714285714285,0.4,0.5882352941176471,0.0,0.631578947368421,0.25,-0.8571428571428571,Ambiguous,0.7935864703820743
sub-010082,post-ses-02-run-01-acq-PA,-6.480602,12.253153,1.1901451,-2.0,1.2857142857142858,0.0,-1.25,0.0,-0.6,-0.35294117647058826,0.0,0.5263157894736842,0.5,-0.2857142857142857,Set A,0.9949956947011648
sub-010082,post-ses-02-run-02-acq-PA,-6.1127048,12.611202,1.079889,-1.4,1.1428571428571428,0.2,-1.0,-0.2857142857142857,-1.4,-0.5882352941176471,-0.2857142857142857,0.42105263157894735,0.25,-0.7142857142857143,Set A,0.9958653901352588
sub-010084,post-ses-02-run-01-acq-AP,8.327688,6.145379,-3.8702288,1.0,-0.7142857142857143,1.0,-0.625,-0.8571428571428571,1.0,-0.47058823529411764,-1.7142857142857142,0.9473684210526315,-0.375,0.14285714285714285,Set B,0.9854261450924968
sub-010084,post-ses-02-run-01-acq-PA,8.4293165,4.71321,-4.765972,1.0,-0.7142857142857143,1.0,-0.5,-1.0,0.2,-0.11764705882352941,-1.0,0.9473684210526315,0.5,-0.14285714285714285,Set B,0.9922567865662624
sub-010084,post-ses-02-run-02-acq-AP,8.631349,4.2545347,-5.248357,1.2,0.14285714285714285,0.8,-0.25,-1.1428571428571428,0.0,0.23529411764705882,-0.7142857142857143,0.5263157894736842,0.5,-0.14285714285714285,Set B,0.9916737980294984
sub-010084,post-ses-02-run-02-acq-PA,7.1332827,4.4718614,-2.0565825,0.4,-0.42857142857142855,0.0,-0.625,-0.8571428571428571,0.0,-0.23529411764705882,-1.0,0.42105263157894735,-0.375,-0.42857142857142855,Set B,0.8723423827618889
sub-010015,post-ses-02-run-01-acq-AP,1.9768704,9.406549,4.1012864,-1.0,1.1428571428571428,-0.2,0.125,-0.8571428571428571,0.2,0.23529411764705882,-1.1428571428571428,0.3157894736842105,0.25,-0.5714285714285714,Set A,0.8577119928889166
sub-010015,post-ses-02-run-01-acq-PA,-2.5953472,0.9820055,11.248515,-1.0,1.1428571428571428,-2.0,-0.375,0.14285714285714285,-2.2,0.47058823529411764,-0.14285714285714285,-0.7368421052631579,-1.125,-0.7142857142857143,Set A,0.9999981116993462
sub-010015,post-ses-02-run-02-acq-AP,-6.7022257,5.5107837,9.827563,-2.0,1.0,-0.2,-0.625,0.2857142857142857,-2.0,0.5882352941176471,-1.1428571428571428,-0.5263157894736842,-0.375,0.5714285714285714,Set A,0.9999929183965808
sub-010015,post-ses-02-run-02-acq-PA,-5.3790317,6.9884396,10.228269,-1.6,1.2857142857142858,-0.2,0.375,0.2857142857142857,-1.6,0.5882352941176471,-2.0,0.42105263157894735,-0.625,-0.2857142857142857,Set A,0.9999867687583643
sub-010016,post-ses-02-run-01-acq-AP,-5.768276,6.3452125,-7.409071,-1.0,1.0,0.2,0.875,0.5714285714285714,1.2,1.1764705882352942,0.8571428571428571,-0.21052631578947367,0.625,0.8571428571428571,Set B,0.9489004080847802
sub-010016,post-ses-02-run-01-acq-PA,-2.8206196,5.7176423,-4.3824043,-0.2,0.7142857142857143,0.0,-0.375,1.0,0.4,0.8235294117647058,0.8571428571428571,-0.5263157894736842,-0.625,0.5714285714285714,Set B,0.9188704212698178
sub-010016,post-ses-02-run-02-acq-AP,-10.2085285,9.4788,3.5674274,-1.2,1.1428571428571428,0.4,0.375,1.1428571428571428,-0.2,1.1764705882352942,0.0,1.0526315789473684,1.0,1.0,Set A,0.8813475150249355
sub-010016,post-ses-02-run-02-acq-PA,-5.6980705,7.9909706,-8.987478,-1.2,1.4285714285714286,1.4,0.5,1.2857142857142858,1.2,1.1764705882352942,0.2857142857142857,1.0526315789473684,0.75,1.0,Set B,0.8141374826944102
sub-010094,post-ses-02-run-01-acq-PA,8.582819,6.043245,0.7846692,0.8,1.0,0.0,0.375,0.42857142857142855,1.0,-0.5882352941176471,-1.1428571428571428,0.3157894736842105,-1.25,-0.5714285714285714,Set B,0.9410713867462737
sub-010094,post-ses-02-run-02-acq-AP,-4.7112136,-1.4256505,7.582521,-0.2,0.8571428571428571,-1.8,-0.5,-0.42857142857142855,0.0,0.5882352941176471,-1.4285714285714286,-0.42105263157894735,-0.75,-0.14285714285714285,Set A,0.9963613018108911
sub-010096,post-ses-02-run-01-acq-AP,-1.8691572,6.795383,13.332395,-2.6,1.7142857142857142,1.4,-1.0,-1.5714285714285714,-1.8,-0.5882352941176471,-0.5714285714285714,-0.42105263157894735,-1.0,-0.5714285714285714,Set A,0.999996930163554
sub-010096,post-ses-02-run-01-acq-PA,-2.271442,4.9378033,12.905648,-2.0,1.1428571428571428,-0.6,-0.625,-1.0,-2.6,0.0,0.14285714285714285,0.8421052631578947,-1.5,-1.1428571428571428,Set A,0.9999997667079796
sub-010096,post-ses-02-run-02-acq-AP,-1.9630213,5.9553022,13.200629,-2.4,0.5714285714285714,0.6,-1.125,-1.1428571428571428,-2.0,0.9411764705882353,0.42857142857142855,-0.8421052631578947,-1.5,-1.1428571428571428,Set A,0.9999959504827195
sub-010096,post-ses-02-run-02-acq-PA,4.3567243,8.892216,-0.91469914,-0.2,1.2857142857142858,0.4,-1.125,0.2857142857142857,0.4,-0.8235294117647058,-1.8571428571428572,-1.0526315789473684,-0.5,-0.2857142857142857,Set A,0.8237266952674706
sub-010017,post-ses-02-run-01-acq-AP,-6.1095967,0.5918146,3.9200056,-0.4,0.7142857142857143,-1.2,0.375,0.0,-0.4,0.35294117647058826,-0.14285714285714285,-0.3157894736842105,-0.5,0.0,Set A,0.8615856550117998
sub-010017,post-ses-02-run-01-acq-PA,-5.072474,3.9099853,9.187082,-1.0,0.8571428571428571,-1.0,0.25,0.0,-1.6,0.35294117647058826,-0.7142857142857143,0.21052631578947367,-0.5,0.5714285714285714,Set A,0.9995181442932024
sub-010017,post-ses-02-run-02-acq-AP,-3.1837318,0.53710204,10.201019,-0.2,1.0,-1.6,0.0,0.14285714285714285,-1.6,0.47058823529411764,-0.14285714285714285,0.10526315789473684,-0.875,-0.2857142857142857,Set A,0.9991813745054409
sub-010017,post-ses-02-run-02-acq-PA,-6.0567975,1.44348,-5.533348,-0.2,0.5714285714285714,-0.2,0.5,0.14285714285714285,0.2,-0.23529411764705882,0.14285714285714285,-0.42105263157894735,0.375,0.8571428571428571,Set B,0.9655538474787593
sub-010097,post-ses-02-run-01-acq-AP,12.192945,-0.25298285,4.452838,0.4,-0.14285714285714285,0.4,0.5,0.2857142857142857,-1.6,0.8235294117647058,0.7142857142857143,0.9473684210526315,0.75,-0.42857142857142855,Ambiguous,0.6759181630452755
sub-010097,post-ses-02-run-01-acq-PA,11.672967,-0.60861593,4.9008536,0.4,-0.14285714285714285,0.2,0.5,0.2857142857142857,-1.6,0.5882352941176471,0.5714285714285714,0.8421052631578947,0.5,-0.7142857142857143,Ambiguous,0.6196347723659418
sub-010097,post-ses-02-run-02-acq-AP,11.225554,-0.7160284,4.2533855,0.4,0.14285714285714285,0.0,0.25,0.2857142857142857,-1.6,0.47058823529411764,0.5714285714285714,0.7368421052631579,0.5,-0.8571428571428571,Ambiguous,0.5079043656493084
sub-010097,post-ses-02-run-02-acq-PA,11.439768,-1.7381222,4.241588,-0.2,0.14285714285714285,-0.2,0.375,-0.42857142857142855,-1.4,0.35294117647058826,0.5714285714285714,0.5263157894736842,0.75,-0.8571428571428571,Ambiguous,0.6185416070642964
sub-010098,post-ses-02-run-01-acq-AP,-8.503922,2.802323,2.394139,-1.6,1.1428571428571428,-1.8,0.75,1.1428571428571428,0.4,0.5882352941176471,-0.14285714285714285,-0.7368421052631579,0.875,0.7142857142857143,Set A,0.9951466971930037
sub-010098,post-ses-02-run-01-acq-PA,-1.4378643,0.8328194,-6.0046616,0.4,1.2857142857142858,0.2,1.125,-0.8571428571428571,1.0,-0.23529411764705882,0.5714285714285714,-0.631578947368421,0.875,-0.8571428571428571,Set B,0.9976533212051815
sub-010098,post-ses-02-run-02-acq-AP,5.096881,-9.317282,-0.564484,0.8,0.0,0.8,-0.25,-1.0,0.6,-0.9411764705882353,0.14285714285714285,-0.631578947368421,-0.75,-0.7142857142857143,Set B,0.9981754906989212
sub-010098,post-ses-02-run-02-acq-PA,14.267598,-1.0185274,-4.300541,-0.4,-0.2857142857142857,0.6,0.75,0.8571428571428571,0.8,0.23529411764705882,0.42857142857142855,-0.8421052631578947,-1.125,-0.8571428571428571,Set B,0.9876260272084686
sub-010099,post-ses-02-run-01-acq-AP,4.90593,-1.9607965,-2.6130776,-0.2,-0.14285714285714285,0.2,-0.5,-0.42857142857142855,0.4,0.47058823529411764,0.14285714285714285,0.42105263157894735,0.125,-0.7142857142857143,Set B,0.9793875881104116
sub-010099,post-ses-02-run-01-acq-PA,3.1822612,1.426571,1.8998163,-0.6,0.14285714285714285,-0.2,-0.625,0.5714285714285714,-0.4,0.23529411764705882,-0.2857142857142857,0.3157894736842105,-0.125,-0.5714285714285714,Ambiguous,0.5569837908921662
sub-010099,post-ses-02-run-02-acq-AP,-6.0977755,-0.5409935,8.651268,-1.2,0.2857142857142857,-1.2,-0.5,0.0,-0.4,0.23529411764705882,-0.8571428571428571,0.21052631578947367,-0.75,-0.5714285714285714,Set A,0.9953082377096049
